"FIPS","State Name","Population White Male 65+ (2012)","Population White Male 65+ (2011)","Population White Male 65+ (2009)","Population White Male 65+ (2008)","Population White Male 65+ (2007)","Population White Male 65+ (2006)","Population White Male 65+ (2005)","Population White Male 65+ (2004)","Population White Male 65+ (2003)","Population White Male 65+ (2002)","Population White Male 65+ (2001)","Population White Male 65+ (2000)","Population White Female 65+ (2012)","Population White Female 65+ (2011)","Population White Female 65+ (2009)","Population White Female 65+ (2008)","Population White Female 65+ (2007)","Population White Female 65+ (2006)","Population White Female 65+ (2005)","Population White Female 65+ (2004)","Population White Female 65+ (2003)","Population White Female 65+ (2002)","Population White Female 65+ (2001)","Population White Female 65+ (2000)","Population Black/Afr Am Male 65+ (2012)","Population Black/Afr Am Male 65+ (2011)","Population Black/Afr Am Male 65+ (2009)","Population Black/Afr Am Male 65+ (2008)","Population Black/Afr Am Male 65+ (2007)","Population Black/Afr Am Male 65+ (2006)","Population Black/Afr Am Male 65+ (2005)","Population Black/Afr Am Male 65+ (2004)","Population Black/Afr Am Male 65+ (2003)","Population Black/Afr Am Male 65+ (2002)","Population Black/Afr Am Male 65+ (2001)","Population Black/Afr Am Male 65+ (2000)","Population Black/Afr Am Female 65+ (2012)","Population Black/Afr Am Female 65+ (2011)","Population Black/Afr Am Female 65+ (2009)","Population Black/Afr Am Female 65+ (2008)","Population Black/Afr Am Female 65+ (2007)","Population Black/Afr Am Female 65+ (2006)","Population Black/Afr Am Female 65+ (2005)","Population Black/Afr Am Female 65+ (2004)","Population Black/Afr Am Female 65+ (2003)","Population Black/Afr Am Female 65+ (2002)","Population Black/Afr Am Female 65+ (2001)","Population Black/Afr Am Female 65+ (2000)","Population Estimate (2012)","Population Estimate (2011)","Census Population (2010)","Population Estimate (2009)","Population Estimate (2008)","Population Estimate (2007)","Population Estimate (2006)","Population Estimate (2005)","Population Estimate (2004)","Population Estimate (2003)","Population Estimate (2002)","Population Estimate (2001)","Census Population (2000)","Total Hospital Beds (2012)","Total Hospital Beds (2011)","Total Hospital Beds (2010)","Total Hospital Beds (2009)","Total Hospital Beds (2008)","Total Hospital Beds (2007)","Total Hospital Beds (2006)","Total Hospital Beds (2005)","Total Hospital Beds (2004)","Total Hospital Beds (2003)","Total Hospital Beds (2002)","Total Hospital Beds (2001)","Total Hospital Beds (2000)","Pop White Male 65-74 (2010)","Pop White Male 75-84 (2010)","Pop White Male 85+ (2010)","Pop White Female 65-74 (2010)","Pop White Female 75-84 (2010)","Pop White Female 85+ (2010)","Pop Black/AA Male 65-74 (2010)","Pop Black/AA Male 75-84 (2010)","Pop Black/AA Male 85+ (2010)","Pop Black/AA Female 65-74 (2010)","Pop Black/AA Female 75-84 (2010)","Pop Black/AA Female 85+ (2010)"
"27000","Minnesota","308648","295260","278382","268766","261737","258104","255342","251975","247906","244290","242828","240992","389784","377236","368067","358909","352616","348631","348484","344688","343451","340027","339663","339060","5445","5090","3945","3496","3319","3174","2995","2881","2834","2638","2466","2354","6930","6509","5107","4729","4588","4393","4224","4024","3805","3535","3351","3191","5379139","5344861","5303925","5266214","5220393","5197621","5167101","5132799","5100958","5059375","5019720","4972294","4919479","15980","16218","16592","16980","17153","18028","18097","18432","18638","19053","19109","19061","19143","159931","92039","33472","175976","122084","70743","3147","1236","306","3776","1730","542"
"28000","Mississippi","130761","124662","117667","114672","112550","111323","112053","109350","106526","104683","103733","102707","169708","163826","163192","160212","158152","157882","155177","153555","153190","152184","152133","152023","39154","37396","34634","34519","33596","33385","32998","32450","32271","32089","32245","32408","59169","57348","56303","57256","55657","55355","54490","53815","53848","54268","54263","54246","2984926","2978512","2967297","2951996","2938618","2918785","2910540","2921088","2902966","2881281","2871782","2858029","2844658","15527","15610","16255","16182","16656","16636","16652","16480","16949","16795","16887","16984","17073","73725","37968","9785","83818","54675","23091","23209","9736","3088","30426","17736","7956"
"29000","Missouri","350834","338040","317170","309268","301563","297321","297205","292502","287820","286095","285183","283945","450282","437984","430098","422809","415428","412451","408103","406090","405756","406411","408146","409288","25368","24392","22716","22167","21726","21217","21374","21045","20754","20308","20260","20145","39928","38798","37167","36541","35916","35114","34843","34587","34718","34263","33997","33661","6021988","6010688","5988927","5987580","5911605","5878415","5842713","5800310","5754618","5704484","5672579","5629707","5595211","21826","22046","22012","22231","22247","21807","22636","22812","22838","22981","22310","22845","23906","190225","105893","33490","214360","144409","72125","14748","6886","1870","20562","12198","4954"
"30000","Montana","71491","67927","61814","59565","57662","56130","55402","54124","53322","52273","51882","51445","80133","77256","74023","71939","70287","69309","68684","67883","67347","66217","66094","65878","122","108","112","103","98","91","90","83","81","71","64","58","84","67","110","100","100","91","85","91","83","71","64","59","1005141","998199","989415","974989","967440","957861","944632","935670","926865","917621","909453","904433","902195","4421","4325","4441","4574","4493","4589","4690","4792","4804","4777","4686","4868","4753","38415","20083","6854","38302","24191","12737","73","23","6","28","27","5"
"31000","Nebraska","108234","104767","98561","97893","95835","95171","94430","93540","93715","93561","93387","93138","139144","136133","133192","134209","132495","131567","131613","130923","131422","131574","132158","132618","2528","2408","2178","2137","2026","1956","1898","1917","1841","1810","1769","1739","3390","3268","3087","3099","3019","2937","2923","2853","2889","2694","2655","2613","1855525","1842641","1826341","1796619","1783432","1774571","1768331","1758787","1747214","1739291","1729180","1713235","1711263","7760","7820","8253","8405","8637","8861","8835","8747","8637","8758","9070","9424","9251","55109","34215","12483","61402","46995","25924","1470","695","139","1756","1001","353"
"32000","Nevada","145925","137593","123689","120398","116356","112228","111263","107675","105840","101874","97902","94052","157268","149235","137791","133629","129242","127274","126359","122282","118996","114412","110390","106473","9831","9217","8164","7733","7393","7159","6917","6408","5196","4946","4643","4342","12226","11145","10034","9430","8856","8692","8213","7497","6066","5763","5494","5244","2758931","2723322","2700551","2643085","2600167","2565382","2495529","2414807","2334771","2241154","2173491","2106074","1998257","7114","7156","7041","7002","7048","6700","6338","5995","5713","5125","5168","4795","4598","79770","38253","9758","79446","42633","16804","5815","2356","467","6643","2881","911"
"33000","New Hampshire","85062","80495","76308","71881","69717","68408","68616","66233","64684","63849","62805","61682","104698","100338","99487","94917","93101","91405","91972","88069","87279","86679","86004","85187","517","437","375","319","289","261","260","244","256","255","219","187","521","400","378","368","346","340","305","269","260","249","213","190","1320718","1318194","1316470","1324575","1315809","1315828","1314895","1309940","1299500","1287687","1275056","1259181","1235786","3314","3323","3348","3418","3413","3396","3377","3395","3365","3354","3469","3443","3495","45494","23933","7941","48983","31791","16546","250","95","19","216","113","16"
"34000","New Jersey","440794","424768","410993","404696","397204","396294","394988","395009","396394","396333","396306","396116","601305","586441","579947","573848","569393","565864","575627","578369","579895","583233","585583","587670","49099","47238","44640","43051","42371","42429","40878","40409","40099","39148","38386","37598","78480","75771","72469","69629","68810","68160","66639","65141","64447","63015","61755","60262","8864590","8821155","8791894","8707739","8682661","8685920","8724560","8717925","8698879","8638396","8590300","8484431","8414350","25711","25461","27032","27042","27114","27943","28869","28147","28116","29182","29761","30345","31180","220150","136711","50675","260455","198317","110386","28382","12853","3269","40799","22435","8629"
"35000","New Mexico","121984","116577","106140","105687","101501","98165","94759","92766","91800","90567","88916","87081","145587","139884","131592","131110","126587","123562","120020","117891","115446","113924","112332","110657","2056","1944","2067","1972","1855","1660","1535","1472","1414","1384","1320","1247","2223","2149","2332","2254","2139","2043","1976","1883","1773","1685","1637","1586","2085538","2082224","2059179","2009671","1984356","1969915","1954599","1928384","1903289","1874614","1855059","1829146","1819046","5320","5281","5459","5317","5315","4984","4947","4895","4944","4955","4863","4948","4924","59827","32585","9787","65873","39718","17821","1137","483","126","1025","678","241"
"36000","New York","937406","901587","887573","883863","860645","854334","846349","841985","839606","839354","838599","837220","1269151","1236453","1245324","1246891","1224930","1218325","1227839","1225876","1226113","1228123","1235468","1241284","134618","129654","122330","119798","116241","115108","112603","109400","110316","106720","103210","99626","227993","220793","210840","208004","202609","199660","198762","193764","195002","189081","183731","178568","19570261","19465197","19378102","19541453","19490297","19297729","19306183","19254630","19227088","19190115","19157532","19011378","18976457","69814","71088","72936","73566","74554","75664","76855","76925","77424","77940","78829","81196","80742","467279","288640","105167","551882","409729","226417","75185","33300","9772","113234","62911","27186"
"37000","North Carolina","481686","454650","417075","396281","381978","370973","363053","353979","347347","339592","334236","328644","619915","591276","563063","539688","525645","515344","504520","496649","492366","484513","479806","474717","83008","78283","70018","66979","64674","62651","61692","59831","58033","57600","57141","56451","129398","123631","114762","111356","108008","106104","104631","102842","100779","100290","99585","98596","9752073","9656401","9535483","9380884","9222414","9061032","8856505","8683242","8541221","8407248","8320146","8186268","8049313","26616","28245","28548","27756","27988","28116","28513","28348","28457","28686","29281","29546","29084","262415","134473","37778","299564","187489","85112","48279","20463","5629","64834","37652","16504"
"38000","North Dakota","42996","41820","39523","39130","38606","38458","38160","38013","38825","38936","39056","39146","54703","53972","52744","52647","52250","52173","53410","53263","53082","53181","53425","53520","117","104","67","67","62","48","47","32","49","59","48","38","94","86","60","48","47","43","35","31","39","43","35","31","699628","683932","672591","646844","641481","639715","635867","636677","634366","633837","634110","634448","642200","3672","3598","3838","3857","3908","3886","3943","4026","4054","4045","4264","4272","4330","21715","14129","5399","23370","19008","11116","63","15","6","47","16","7"
"39000","Ohio","660280","633828","603958","588779","576429","570687","567236","564862","561195","559106","557321","555474","871265","847360","841491","826974","816485","811543","813736","813939","811654","813091","814897","816275","57996","55991","52148","50954","50395","49975","50293","49590","49014","48710","48506","48274","88025","85604","82799","80813","79663","78933","78747","78098","76754","75646","75397","74925","11544225","11544951","11536504","11542645","11485910","11466917","11478006","11464042","11459011","11435798","11421267","11373541","11353140","37574","37524","38225","38103","38198","37512","37719","37726","37036","36941","37356","37333","37968","350119","201693","66832","405980","286136","145195","32402","17162","4715","43775","28335","11451"
"40000","Oklahoma","204551","197847","184449","181758","177539","174676","174740","173080","170399","169802","168916","167781","257929","251640","246821","245065","240763","239068","234133","234032","234455","235969","236719","237040","10064","9618","8930","8841","8578","8084","8065","7942","7979","7649","7667","7669","14077","13647","13217","13246","12906","12566","12230","12147","12187","12129","12033","12014","3814820","3791508","3751351","3687050","3642361","3617316","3579212","3547884","3523553","3511532","3493714","3460097","3450654","13600","13719","13465","13297","13009","12971","13011","13143","12847","13095","13018","13096","13206","111643","61419","18417","126225","82978","37262","5891","2560","696","7300","4121","1671"
