FIPS,Tot Hospital Admissions (2012),Tot Hospital Admissions (2011),Tot Hospital Admissions (2010),State Name,State,Tot Hospital Admissions (2009),Tot Hospital Admissions (2008),Tot Hospital Admissions (2007),Total Number Hospitals (2012),Total Number Hospitals (2011),Total Number Hospitals (2010),Total Number Hospitals (2009),Total Number Hospitals (2008),Total Hospital Beds (2012),Total Hospital Beds (2011),Total Hospital Beds (2010),Total Hospital Beds (2009),Total Hospital Beds (2008),Total Hospital Beds (2007),Total Number Hospitals (2007),Population Estimate (2013),Population Estimate (2012),Population Estimate (2011),Population Estimate (2009),Population Estimate (2008),Census Population (2010),Population Estimate (2007),Population Male &lt; 15 (2013),Population Male 15-19 (2013),Population Male 20-24 (2013),Population Male 25-44 (2013),Population Male 45-64 (2013),Population Male 65+ (2013),Population Female &lt; 15 (2013),Population Female 25-44 (2013),Population Female 65+ (2013),Persons &lt; 65 with Health Insurance (2013),Persons &lt; 65 without Health Ins (2013)
41000,349051,357430,361757,Oregon,OR,356963,378748,357763,64,65,65,64,64,7876,7991,8063,7997,8372,8013,63,3930065,3899353,3871859,3825657,3790060,3831074,3747455,363388,126014,135855,529604,514132,275417,347188,517926,331978,2698647,560442
42000,1787784,1857490,1914065,Pennsylvania,PA,1936700,2023300,1986669,240,243,244,242,254,45062,45521,46651,45903,48363,47573,247,12773801,12763536,12742886,12604767,12448279,12702379,12432792,1142049,432225,445889,1574780,1752531,894866,1091962,1566454,1196464,9136193,1203230
44000,127820,134735,137432,Rhode Island,RI,140254,138387,140902,16,16,16,16,16,3237,3274,3285,3318,3269,3120,16,1051511,1050292,1051302,1053209,1050788,1052567,1057832,89768,37437,41362,130178,142066,68616,85298,131596,94198,737828,118371
45000,534671,538583,549840,South Carolina,SC,555605,554614,547644,87,88,87,89,88,14156,13885,14031,13882,13928,13701,89,4774839,4723723,4679230,4561242,4479800,4625364,4407709,458606,160713,182092,596105,605030,320573,442576,612881,407195,3185432,729643
46000,122638,115599,113687,South Dakota,SD,116224,116478,112522,65,64,64,65,65,4877,4769,4798,4838,4810,4959,64,844877,833354,824082,812383,804194,814180,796214,89795,29480,31708,106450,110552,56393,84893,99771,69770,608157,89614
47000,872716,856198,878659,Tennessee,TN,912214,913956,1093558,148,150,152,155,157,22400,22759,23894,23985,24309,26428,158,6495978,6456243,6403353,6296254,6214888,6346105,6156719,632526,214445,232538,834744,836139,416702,607902,853104,535674,4527848,876189
48000,2864368,2865292,2910048,Texas,TX,2945742,2894144,2864281,602,592,592,585,580,76500,76285,77457,77787,76843,75838,575,26448193,26059203,25674681,24782302,24326974,25145561,23904380,3012501,971607,1016417,3729872,3104118,1312487,2887923,3676283,1653680,17231505,5696712
49000,256256,248773,241004,Utah,UT,238798,241384,239026,54,53,53,53,54,6122,5934,6059,6069,5987,5709,53,2900872,2855287,2817222,2784572,2736424,2763885,2645330,389710,114156,125048,413889,285911,130267,369755,399546,153368,2179967,393119
50000,54882,54336,54698,Vermont,VT,55907,56111,54610,16,16,17,17,17,1399,1362,1495,1503,1496,1547,17,626630,626011,626431,621760,621270,625741,621254,51461,22767,23530,72137,92901,46392,48316,72756,56081,458639,43850
51000,869446,864349,850169,Virginia,VA,863688,861870,852087,122,121,120,119,122,23328,23391,23407,23107,23536,22780,119,8260405,8185867,8096604,7882590,7769089,8001024,7712091,793352,273415,310835,1128015,1071835,484750,761687,1122064,620631,5963804,970614
53000,638405,629632,642987,Washington,WA,647260,625192,611259,107,107,106,106,105,14525,14366,14325,14105,14108,13827,106,6971406,6897012,6830038,6664195,6549224,6724540,6468424,679650,225592,257907,975533,913303,430685,649167,933864,520399,4975491,942751
54000,294427,301616,290799,West Virginia,WV,297049,308245,311057,65,65,66,66,67,8292,8448,8408,8503,8918,8974,69,1854304,1855413,1855364,1819777,1814468,1852994,1812035,161553,57955,63670,228349,261029,143020,154447,222682,177021,1234147,254093
55000,616577,609079,626900,Wisconsin,WI,652057,651995,650170,151,150,147,149,148,15182,15154,15912,16167,16181,16500,147,5742713,5726398,5711767,5654774,5627967,5686986,5601640,553701,196628,203040,724072,797332,377387,529021,702520,472580,4262014,505168
56000,50890,53543,57343,Wyoming,WY,64032,57858,57588,32,32,32,31,31,2572,2607,2680,2661,2675,2648,30,582658,576412,568158,544270,532668,563626,522830,59070,19661,22834,79227,79513,36973,56267,71828,41716,414299,77868
66000,5460,6397,6657,Guam,GU,7973,13007,14359,2,2,2,2,2,159,159,189,189,189,263,2,160378,159914,159600,178430,175991,159358,173456,21806,7253,6708,21597,18040,5950,20480,21100,7153,,
72000,401532,407856,417504,Puerto Rico,PR,411575,422805,439406,59,57,59,58,58,8987,8920,9013,8790,8875,9576,58,3615086,3667084,3706690,3967288,3954037,3725789,3942375,338827,134701,133456,442918,418846,259886,319466,479209,339781,,
